energy,fit,true_isr_slice,slice_cut,n_standard_valid,n_eligible_p_lt_003,n_attempted,n_fit_valid,n_applied,n_recovered,eligible_fraction_pct,attempted_over_eligible_pct,fit_valid_over_attempted_pct,applied_over_attempted_pct,recovered_over_applied_pct,applied_over_standard_pct,n_correlation,rho_signed_pz,rho_energy,mean_true_pz,mean_fitted_pz,pz_bias,pz_residual_rms,mean_true_energy,mean_fitted_energy,energy_bias,energy_residual_rms
162.5 GeV,4C+ISR,all,"1",45851,13998,13998,13998,13998,7315,30.52932324,100,100,100,52.25746535,30.52932324,13998,0.4005511402,0.3332563449,-0.0005594163614,-0.1590213392,-0.1584619229,6.729331322,0.9794122531,3.942802269,2.963390016,6.59238221
162.5 GeV,4C+ISR,<5 GeV,"E_isr_true_collinear<5",44868,13200,13200,13200,13200,6666,29.41963092,100,100,100,50.5,29.41963092,13200,0.1402488938,0.02188482147,-0.007593112303,-0.1631523478,-0.1555592355,6.803077108,0.4362112783,3.550411639,3.114200361,6.70636378
162.5 GeV,4C+ISR,5-20 GeV,"E_isr_true_collinear>=5 && E_isr_true_collinear<20",930,751,751,751,751,615,80.75268817,100,100,100,81.89081225,80.75268817,751,0.863964418,0.6031296557,0.4873282557,0.2895642582,-0.1977639975,5.308502819,8.765122771,9.174747167,0.4096243962,4.139992417
162.5 GeV,4C+ISR,20-50 GeV,"E_isr_true_collinear>=20 && E_isr_true_collinear<50",52,46,46,46,46,34,88.46153846,100,100,100,73.91304348,88.46153846,46,0.9806226569,0.7961950999,-7.078297491,-7.447811627,-0.3695141362,6.254755584,28.63478495,30.06327264,1.428487697,6.254755584
162.5 GeV,4C+ISR,>=50 GeV,"E_isr_true_collinear>=50",1,1,1,1,1,0,100,100,100,100,0,100,1,,,52.01653671,52.76686096,0.7503242493,0.7503242493,52.01653671,52.76686096,0.7503242493,0.7503242493
162.5 GeV,5C+ISR,all,"1",45831,41668,41668,41668,41668,6669,90.91662848,100,100,100,16.00508784,90.91662848,41668,0.1727738552,0.1386175912,-0.006707479917,-0.02506875396,-0.01836127404,8.603422922,0.4831763099,3.919038201,3.435861891,8.48507023
162.5 GeV,5C+ISR,<5 GeV,"E_isr_true_collinear<5",44849,40698,40698,40698,40698,6589,90.74449821,100,100,100,16.18998477,90.74449821,40698,0.09191539461,0.03603152833,-0.004449844793,-0.02833643356,-0.02388658876,8.478889401,0.2604364294,3.789764071,3.529327642,8.408290102
162.5 GeV,5C+ISR,5-20 GeV,"E_isr_true_collinear>=5 && E_isr_true_collinear<20",929,918,918,918,918,78,98.81593111,100,100,100,8.496732026,98.81593111,918,0.4733125203,0.1542477286,0.2219697328,0.3077758264,0.08580609357,12.57095434,8.713785812,8.524226226,-0.1895595865,11.01408451
162.5 GeV,5C+ISR,20-50 GeV,"E_isr_true_collinear>=20 && E_isr_true_collinear<50",51,50,50,50,50,2,98.03921569,100,100,100,4,98.03921569,50,0.8346923213,0.4421450478,-5.976187439,-3.537104282,2.439083157,16.27033923,28.54227791,22.40248724,-6.139790668,14.96190855
162.5 GeV,5C+ISR,>=50 GeV,"E_isr_true_collinear>=50",2,2,2,2,2,0,100,100,100,100,0,100,2,1,-1,-1.673166275,1.494169235,3.16733551,5.885935766,53.68970299,58.650774,4.961071014,5.885935766
