energy,fit,true_isr_slice,slice_cut,n_standard_valid,n_eligible_p_lt_003,n_attempted,n_fit_valid,n_applied,n_recovered,eligible_fraction_pct,attempted_over_eligible_pct,fit_valid_over_attempted_pct,applied_over_attempted_pct,recovered_over_applied_pct,applied_over_standard_pct,n_correlation,rho_signed_pz,rho_energy,mean_true_pz,mean_fitted_pz,pz_bias,pz_residual_rms,mean_true_energy,mean_fitted_energy,energy_bias,energy_residual_rms
240 GeV,4C+ISR,all,"1",45815,16780,16780,16780,16780,10104,36.62555931,100,100,100,60.21454112,36.62555931,16780,0.7343025901,0.644374174,-0.117982111,-0.01912892721,0.09885318377,15.29365625,10.10525537,14.74677855,4.641523183,14.22920268
240 GeV,4C+ISR,<5 GeV,"E_isr_true_collinear<5",36471,9369,9369,9369,9369,4490,25.68890351,100,100,100,47.9240047,25.68890351,9369,0.09411007405,-0.05716092501,0.0372192093,0.1805484766,0.1433292673,17.12323945,0.8245973096,8.923338334,8.098741024,16.90926807
240 GeV,4C+ISR,5-20 GeV,"E_isr_true_collinear>=5 && E_isr_true_collinear<20",5567,4204,4204,4204,4204,3266,75.51643614,100,100,100,77.68791627,75.51643614,4204,0.6798766569,0.3386760991,0.2119711047,0.1906693954,-0.02130170924,11.68699612,10.95189075,12.35872764,1.406836884,9.535973904
240 GeV,4C+ISR,20-50 GeV,"E_isr_true_collinear>=20 && E_isr_true_collinear<50",3219,2691,2691,2691,2691,1992,83.59739049,100,100,100,74.0245262,83.59739049,2691,0.9184625155,0.6231391865,-0.5121029195,-0.4229354341,0.0891674854,13.46878045,32.11530112,31.19189553,-0.92340559,9.604221397
240 GeV,4C+ISR,>=50 GeV,"E_isr_true_collinear>=50",558,516,516,516,516,356,92.47311828,100,100,100,68.99224806,92.47311828,516,0.965200482,0.3907991316,-3.568806515,-3.248056126,0.3207503895,14.95190915,56.93121871,54.17578565,-2.755433055,13.06837
240 GeV,5C+ISR,all,"1",45771,42105,42105,42103,42103,6571,91.99056171,100,99.99524997,99.99524997,15.60696387,91.98619213,42103,0.4739688411,0.4608637626,-0.06911586152,-0.02264569772,0.0464701638,15.78813368,4.985585158,8.821139256,3.835554098,14.43397038
240 GeV,5C+ISR,<5 GeV,"E_isr_true_collinear<5",36436,32835,32835,32835,32835,5089,90.11691733,100,100,100,15.49870565,90.11691733,32835,0.09408215618,0.0263326217,0.01602119755,0.04144688953,0.02542569198,13.63613217,0.5219747775,6.177905152,5.655930374,13.48547223
240 GeV,5C+ISR,5-20 GeV,"E_isr_true_collinear>=5 && E_isr_true_collinear<20",5564,5516,5516,5515,5515,1144,99.13731129,100,99.98187092,99.98187092,20.74342702,99.11933861,5515,0.4678810871,0.1767951626,0.1972116366,-0.2180473871,-0.4152590236,16.0919782,10.73941185,11.37661781,0.6372059631,13.66088449
240 GeV,5C+ISR,20-50 GeV,"E_isr_true_collinear>=20 && E_isr_true_collinear<50",3213,3197,3197,3196,3196,309,99.50202303,100,99.96872068,99.96872068,9.668335419,99.47089947,3196,0.6452479542,0.2885891488,-0.7579682533,0.01686509775,0.774833351,27.63996545,31.91459974,25.12590371,-6.788696028,21.14488551
240 GeV,5C+ISR,>=50 GeV,"E_isr_true_collinear>=50",558,557,557,557,557,29,99.82078853,100,100,100,5.206463196,99.82078853,557,0.8452196497,0.2578872874,-3.772346099,-2.092872427,1.679473673,30.54199204,56.62860492,45.78182209,-10.84678284,24.78824081
