energy,quantity,events,denominator,percent
162p5,stored events,45854,45854,100.0
162p5,standard 4C P>0.03,31853,45851,69.47067675732264
162p5,final 4C accepted,39168,45854,85.41893836960789
240,stored events,45830,45830,100.0
240,standard 4C P>0.03,29035,45815,63.37444068536505
240,final 4C accepted,39139,45830,85.40039275583679
240,standard 5C P>0.03,3666,45771,8.009438290620698
240,final 5C accepted,10237,45830,22.336897228889374
365,stored events,45583,45583,100.0
365,standard 4C P>0.03,24781,45480,54.48768689533861
365,final 4C accepted,35926,45583,78.81447030691267
365,standard 5C P>0.03,4438,45204,9.817715246438368
365,final 5C accepted,10986,45583,24.101090318759187
