energy,fit,true_isr_slice_GeV,standard_valid,eligible_p_lt_003,applied,recovered,eligible_fraction_pct,recovered_over_applied_pct,rho_signed_pz,pz_bias_GeV,pz_residual_rms_GeV,rho_energy,energy_residual_rms_GeV
162p5,4C+ISR,all,45851,13535,13998,7315,29.51953065363896,52.25746535219317,0.4005511402396791,-0.15846192285378824,6.729331322047664,0.333256344879991,6.592382210416674
162p5,4C+ISR,<5,44868,12872,13200,6666,28.688597664259607,50.5,0.14024889383593178,-0.15555923545492326,6.803077108284175,0.021884821471204033,6.706363779982033
162p5,4C+ISR,5-20,930,651,751,615,70.0,81.89081225033289,0.863964417989822,-0.19776399745128442,5.3085028186576935,0.6031296556678104,4.139992417191277
162p5,4C+ISR,20-50,52,12,46,34,23.076923076923077,73.91304347826087,0.9806226568728725,-0.36951413621073126,6.254755584386816,0.7961950998695133,6.254755584386816
162p5,4C+ISR,>=50,1,0,1,0,0.0,0.0,nan,nan,nan,nan,nan
240,4C+ISR,all,45815,14050,16780,10104,30.66681217941722,60.214541120381405,0.7343025901265848,0.09885318377463168,15.293656249007887,0.6443741739922028,14.229202680030255
240,4C+ISR,<5,36471,8836,9369,4490,24.22746839955033,47.92400469633899,0.094110074051435,0.14332926728823223,17.12323944502905,-0.05716092501076172,16.909268066495425
240,4C+ISR,5-20,5567,3798,4204,3266,68.22345967307346,77.68791627021884,0.6798766568823225,-0.021301709243107925,11.686996124759816,0.338676099070469,9.535973904393328
240,4C+ISR,20-50,3219,1387,2691,1992,43.08791550170861,74.02452619843925,0.9184625154988032,0.08916748540191477,13.46878045123592,0.6231391865013516,9.604221397367178
240,4C+ISR,>=50,558,29,516,356,5.197132616487456,68.9922480620155,0.9652004820292951,0.32075038945028034,14.951909146110197,0.390799131627714,13.068369997899927
240,5C+ISR,all,45771,25395,42103,6571,55.482729239037816,15.606963874308244,0.47396884111352433,0.0464701637978521,15.788133677111603,0.4608637625774921,14.43397038163227
240,5C+ISR,<5,36436,22574,32835,5089,61.95520913382369,15.498705649459419,0.0940821561831683,0.02542569198019097,13.636132167037083,0.026332621700126638,13.485472231197189
240,5C+ISR,5-20,5564,2349,5515,1144,42.21782890007189,20.74342701722575,0.46788108705231846,-0.41525902362542055,16.091978204832916,0.17679516260429162,13.660884492944591
240,5C+ISR,20-50,3213,456,3196,309,14.19234360410831,9.668335419274092,0.6452479541602653,0.7748333510286519,27.6399654474728,0.28858914884924414,21.1448855142709
240,5C+ISR,>=50,558,16,557,29,2.867383512544803,5.206463195691203,0.8452196497127661,1.6794736725637684,30.541992037338822,0.2578872874093022,24.788240811332287
365,4C+ISR,all,45480,14697,20696,11145,32.315303430079155,53.850985697719366,0.6787219668860252,0.3401593364513325,40.00879255072715,0.5801814840440489,37.185644458391444
365,4C+ISR,<5,32431,8542,10178,4149,26.338996639018223,40.764393790528594,0.010531761255275269,0.6304634785425397,47.02207942923773,-0.08803772272079087,46.731526961636355
365,4C+ISR,5-20,5415,3492,3932,2696,64.48753462603878,68.56561546286876,0.2982544759907693,-0.019688286107044862,31.57187155327952,0.11973162794347161,27.58059670786516
365,4C+ISR,20-50,3698,2100,3080,2096,56.78745267712277,68.05194805194805,0.6777317227551665,0.386612763555793,31.43414069697491,0.30316720422509885,21.68979697218146
365,4C+ISR,>=50,3936,563,3506,2204,14.303861788617887,62.86366229321164,0.9368439977206597,-0.13983817118885716,32.31473646248334,0.7269798688806522,23.588296979986737
365,5C+ISR,all,45204,23229,40744,6548,51.387045394212905,16.071077950127627,0.5896001195155942,-0.07260507393953503,31.52549898218389,0.5951227991640018,27.894183084834918
365,5C+ISR,<5,32266,19446,27911,4279,60.26777412756462,15.330873132456738,0.05035595900895842,0.04622051322088256,27.000188799018222,0.013974289967352524,26.796902836870252
365,5C+ISR,5-20,5392,2925,5308,1118,54.247032640949556,21.062547098718916,0.322543845557589,-0.03158204920011619,28.608574750505195,0.11142230864372156,25.430761930714834
365,5C+ISR,20-50,3678,725,3669,703,19.711799891245242,19.160534205505588,0.5737963589073644,-0.13232206228514332,35.38622314251685,0.22839920475075073,26.279727749458868
365,5C+ISR,>=50,3868,133,3856,448,3.43846949327818,11.618257261410788,0.811054323693039,-0.9323534007837292,53.91255226677374,0.5073894895112842,38.42544506473468
