energy,figure,panel,curve,expressions,selection,selected_events,finite_fills,visible_fills,mean,sigma,outside_visible_pct
162p5,Fig 7.9,mass,without ISR treatment,m_small_4C;m_large_4C,standard_4C_valid>0.5,45851,91702,90075,75.60870897007756,11.37054037905842,1.7742252077381082
162p5,Fig 7.9,mass,with ISR treatment,m_small_4C_final;m_large_4C_final,standard_4C_valid>0.5,45851,91702,90043,75.19755960677172,11.460561004082523,1.8091208479640575
162p5,Fig 7.10,smaller,raw,m_small_raw,1,45854,45854,43980,66.1654165313915,9.58516246488444,4.086884459371047
162p5,Fig 7.10,larger,raw,m_large_raw,1,45854,45854,45841,80.05098651709486,7.666754348345023,0.028350852706416015
162p5,Fig 7.10,smaller,4C with ISR treatment,m_small_4C_final,standard_4C_valid>0.5,45851,45851,44203,67.79621893308406,9.841177115110282,3.5942509432727747
162p5,Fig 7.10,larger,4C with ISR treatment,m_large_4C_final,standard_4C_valid>0.5,45851,45851,45840,82.33458975072931,7.8004793312144445,0.023990752655340123
162p5,Appendix B.4,4C smaller,without P cut,m_small_4C,standard_4C_valid>0.5,45851,45851,44252,68.19902087227729,9.678975849373872,3.487383045080805
162p5,Appendix B.4,4C larger,without P cut,m_large_4C,standard_4C_valid>0.5,45851,45851,45823,82.7643626309871,7.7104164574281375,0.06106737039541122
162p5,Appendix B.4,4C smaller,with P>0.03,m_small_4C,standard_4C_valid>0.5 && prob_4C>0.03,31853,31853,30949,68.56054192731953,9.625117449109473,2.8380372335415815
162p5,Appendix B.4,4C larger,with P>0.03,m_large_4C,standard_4C_valid>0.5 && prob_4C>0.03,31853,31853,31852,82.68919083162811,7.197947315551693,0.0031394217185194487
240,Fig 7.9,mass,without ISR treatment,mW_5C,standard_5C_valid>0.5,45771,45771,45305,80.74719528056785,9.1278648833507,1.0181119049179612
240,Fig 7.9,mass,with ISR treatment,mW_5C_final,standard_5C_valid>0.5,45771,45771,44804,78.27533760041852,9.773737215643575,2.112691442179546
240,Fig 7.10,smaller,raw,m_small_raw,1,45830,45830,44385,73.01177486201806,10.236864867641476,3.152956578660266
240,Fig 7.10,larger,raw,m_large_raw,1,45830,45830,45029,85.30329868579526,10.03093597483576,1.7477634737071788
240,Fig 7.10,smaller,4C with ISR treatment,m_small_4C_final,standard_4C_valid>0.5,45815,45815,44328,73.80370895140999,10.2395438756894,3.245661901124086
240,Fig 7.10,larger,4C with ISR treatment,m_large_4C_final,standard_4C_valid>0.5,45815,45815,44944,86.02688146435354,10.01215534750564,1.9011240859980356
240,Fig 7.10,smaller,5C with ISR treatment,mW_5C_final,standard_5C_valid>0.5,45771,45771,44804,78.27533760041852,9.773737215643575,2.112691442179546
240,Fig 7.10,larger,5C with ISR treatment,mW_5C_final,standard_5C_valid>0.5,45771,45771,44804,78.27533760041852,9.773737215643575,2.112691442179546
240,Appendix B.4,5C equal mass,without P cut,mW_5C,standard_5C_valid>0.5,45771,45771,45305,80.74719528056785,9.1278648833507,1.0181119049179612
240,Appendix B.4,5C equal mass,with P>0.03,mW_5C,standard_5C_valid>0.5 && prob_5C>0.03,3666,3666,3666,80.67497293479573,4.052870447097189,0.0
240,Final selected,5C equal mass,with final P>0.03,mW_5C_final,pass_final_5C_p03>0.5,10237,10237,10234,80.17319998108411,4.42540435522151,0.029305460584155514
240,Appendix B.4,4C smaller,without P cut,m_small_4C,standard_4C_valid>0.5,45815,45815,43947,74.64719748364094,10.18955319216422,4.077267270544581
240,Appendix B.4,4C larger,without P cut,m_large_4C,standard_4C_valid>0.5,45815,45815,44753,87.38445471519678,10.498269085151922,2.318018116337444
240,Appendix B.4,4C smaller,with P>0.03,m_small_4C,standard_4C_valid>0.5 && prob_4C>0.03,29035,29035,28621,75.55058414966638,9.008863514809912,1.425865334940589
