energy_GeV,jet,variable,branch,stage,selection,selected_events,visible_fills,hist_mean,hist_rms,gaussian_mu,gaussian_mu_error,gaussian_sigma,gaussian_sigma_error,gaussian_fit_status,gaussian_chi2_ndf
365.0,1,alpha,pull4C_standard_alpha_j1,before,pull4C_standard_valid > 0.5,45480,38384,-0.44048679037353033,1.3048393752044691,-0.28083310427543773,0.004974573239241211,0.8310915504271534,0.00663971126769447,4000,74.16171342133015
365.0,1,alpha,pull4C_standard_alpha_j1,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.21124323619449675,0.7298223216045362,-0.19955495474969623,0.004273415388120596,0.6255481615676359,0.005331281181327696,4000,40.44724999928861
365.0,1,theta,pull4C_standard_theta_j1,before,pull4C_standard_valid > 0.5,45480,32172,0.006801402624406364,1.6976534172954467,-0.00736924359078831,0.007680335282359561,1.2076523961107217,0.008927464194203982,4000,27.252026182577364
365.0,1,theta,pull4C_standard_theta_j1,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.002987880060976758,1.053490551155669,-0.0051590629356413325,0.00681324709865803,1.0304582832861247,0.00722090143532228,4000,18.08944849429457
365.0,1,phi,pull4C_standard_phi_j1,before,pull4C_standard_valid > 0.5,45480,33584,-0.004306714677674863,1.6839268334739987,0.0013357024626704296,0.007257872685613703,1.171967275756956,0.008610546681532383,4000,31.577103230308882
365.0,1,phi,pull4C_standard_phi_j1,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.003919133625872476,1.0158370395413585,0.000766806455457678,0.006385835916187001,0.9690995804315815,0.007027445584273928,4000,20.84803299035622
365.0,1,x,pull4C_standard_x_j1,before,pull4C_standard_valid > 0.5,45480,38454,-0.4130392397727483,1.3113457178563153,-0.26449113297812155,0.004931586739625056,0.8322899053298368,0.006637642704729219,4000,73.87873638590658
365.0,1,x,pull4C_standard_x_j1,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.20722457008562928,0.7294507083401588,-0.19581005750169433,0.004269783058830198,0.6255644888254845,0.005322158238380503,4000,40.385980667082364
365.0,2,alpha,pull4C_standard_alpha_j2,before,pull4C_standard_valid > 0.5,45480,37119,-0.3274875860621321,1.356452641199497,-0.21172277190737027,0.0048128541111277625,0.8005046245378523,0.0067149501071657736,4000,73.32077891455617
365.0,2,alpha,pull4C_standard_alpha_j2,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,-0.21052594269556651,0.7087948825931197,-0.17519783108677225,0.004217748842405428,0.6096983144801001,0.0051181862009053725,4000,38.154395740085526
