energy_GeV,figure,panel,curve,expressions,selection,selected_events,finite_fills,visible_fills,mean,mean_error,stddev,stddev_error
162.5,7.9,mass,without ISR treatment,m_small_4C + m_large_4C,standard_4C_valid > 0.5,45851,91702,90075,75.60870897007756,0.03788601870981707,11.370540379079651,0.02678946074187206
162.5,7.9,mass,with ISR treatment,m_small_4C_final + m_large_4C_final,standard_4C_valid > 0.5,45851,91702,90043,75.19755960677172,0.03819274728025182,11.460561004105054,0.027006350594010135
162.5,7.9,probability,without ISR treatment,prob_4C,standard_4C_valid > 0.5,45851,45851,45851,0.3934882052123685,0.0016457632550968002,0.35240476139937627,0.0011637303579065934
162.5,7.9,probability,with ISR treatment,prob_final_4C,standard_4C_valid > 0.5,45851,45851,45851,0.46977394503965736,0.0015204086566429345,0.32556277351221147,0.001075091271286948
162.5,7.10,smaller,raw dijet mass,m_small_raw,1,45854,45854,43980,66.1654165313915,0.04570585798629494,9.585162464898684,0.032318922122058474
162.5,7.10,smaller,4C with ISR treatment,m_small_4C_final,standard_4C_valid > 0.5,45851,45851,44203,67.79621893308406,0.04680811750666185,9.841177115125275,0.03309833730353734
162.5,7.10,larger,raw dijet mass,m_large_raw,1,45854,45854,45841,80.05098651709486,0.03580836623579893,7.666754348369521,0.025320338588544832
162.5,7.10,larger,4C with ISR treatment,m_large_4C_final,standard_4C_valid > 0.5,45851,45851,45840,82.33458975072931,0.03643333993882798,7.800479331237369,0.02576226173201994
162.5,Appendix B.4,smaller,4C without ISR treatment; no probability requirement,m_small_4C,standard_4C_valid > 0.5,45851,45851,44252,68.19902087227729,0.04601113582817083,9.678975849387111,0.0325347861541949
162.5,Appendix B.4,smaller,4C without ISR treatment; P_4C>0.03,m_small_4C,(standard_4C_valid > 0.5) && (prob_4C > 0.029999999999999999),31853,31853,30949,68.56054192731953,0.05471201718424271,9.625117449121966,0.038687238363372935
162.5,Appendix B.4,larger,4C without ISR treatment; no probability requirement,m_large_4C,standard_4C_valid > 0.5,45851,45851,45823,82.7643626309871,0.03601936702092805,7.710416457452771,0.025469538674545312
162.5,Appendix B.4,larger,4C without ISR treatment; P_4C>0.03,m_large_4C,(standard_4C_valid > 0.5) && (prob_4C > 0.029999999999999999),31853,31853,31852,82.68919083162811,0.040331122549676156,7.197947315569807,0.028518410247741696
