energy_GeV,fit,pull_category,jet,variable,branch,stage,selection,selected_events,visible_fills,hist_mean,hist_rms,gaussian_mu,gaussian_mu_error,gaussian_sigma,gaussian_sigma_error,gaussian_fit_status,gaussian_chi2_ndf
240.0,4C,pull4C_standard,1,alpha,pull4C_standard_alpha_j1,before,pull4C_standard_valid > 0.5,45815,41732,-0.3882612357026532,1.195748033687494,-0.26003690237932275,0.004112945416298114,0.7402606963859119,0.0059970955989573915,4000,90.35925080836604
240.0,4C,pull4C_standard,1,alpha,pull4C_standard_alpha_j1,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,-0.2203909185836795,0.7025648545233792,-0.2190227488224314,0.0036118236574393166,0.576918795077891,0.004830614307702374,4000,52.975062667658136
240.0,4C,pull4C_standard,1,theta,pull4C_standard_theta_j1,before,pull4C_standard_valid > 0.5,45815,35830,0.02271710966998413,1.6403918181999937,0.013408473396388582,0.00671520660161068,1.1291295562307977,0.008043459853464663,4000,37.594468540347876
240.0,4C,pull4C_standard,1,theta,pull4C_standard_theta_j1,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,0.014428460006661448,1.0360384343720588,0.014372428637742813,0.006099494023153475,0.9972696899810479,0.006737765161101139,4000,26.090411945495287
240.0,4C,pull4C_standard,1,phi,pull4C_standard_phi_j1,before,pull4C_standard_valid > 0.5,45815,37432,0.022183698953901185,1.5889042750357287,0.013649425348179029,0.006374699101169657,1.1041327358529216,0.007596942780351501,4000,41.0692177615599
240.0,4C,pull4C_standard,1,phi,pull4C_standard_phi_j1,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,0.015003610234348218,0.9878176564180676,0.011380524940896454,0.005718284324295168,0.9374469630376258,0.0063966190385285615,4000,28.33911335103141
240.0,4C,pull4C_standard,1,x,pull4C_standard_x_j1,before,pull4C_standard_valid > 0.5,45815,41757,-0.352199875842003,1.204096345707918,-0.2354195719502608,0.004089128109167997,0.7423332248747007,0.0060223900024140575,4000,91.02211000789276
240.0,4C,pull4C_standard,1,x,pull4C_standard_x_j1,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,-0.2115299873435716,0.7024550793828397,-0.21024626935138813,0.0036007601845536434,0.5758525397376254,0.004844481496326325,4000,52.99456447307296
240.0,4C,pull4C_final,1,alpha,pull4C_final_alpha_j1,before,pull4C_final_valid > 0.5,45815,44941,-0.2107188523203696,0.9887263639636421,-0.21121778381992998,0.00343726878699829,0.6777424687148134,0.004714358220254733,4000,85.4185147905524
240.0,4C,pull4C_final,1,alpha,pull4C_final_alpha_j1,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39139,39139,-0.20857747759641185,0.7386861733735952,-0.2122052279158503,0.003310376843146002,0.6188088670597393,0.004350859900157877,4000,67.06681952252974
240.0,4C,pull4C_final,1,theta,pull4C_final_theta_j1,before,pull4C_final_valid > 0.5,45815,44029,0.013925556788474559,1.2951125218670534,0.013984177714811086,0.005240227642313612,1.0258546220208389,0.006132542740637903,4000,45.86080375488575
240.0,4C,pull4C_final,1,theta,pull4C_final_theta_j1,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39139,39139,0.009424495731896613,0.9921653171218066,0.01135113048393385,0.004942674765564426,0.9429857249039577,0.005526178108273994,4000,35.86841440032262
240.0,4C,pull4C_final,1,phi,pull4C_final_phi_j1,before,pull4C_final_valid > 0.5,45815,43553,0.015151523326773237,1.3194770130351703,0.010180502617441736,0.005097746585836106,0.9901647077038908,0.006072773496816952,4000,48.88634336518489
240.0,4C,pull4C_final,1,phi,pull4C_final_phi_j1,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39139,39139,0.011261947223955843,0.9798678976366255,0.009463067630679205,0.004868856999897909,0.9273129282811933,0.005562695919516303,4000,39.27276186605086
240.0,4C,pull4C_final,1,x,pull4C_final_x_j1,before,pull4C_final_valid > 0.5,45815,44932,-0.19404209231695788,0.9883159415449018,-0.19898565792597617,0.003441353324403395,0.6793239979244031,0.004733959505761887,4000,86.10975995622894
240.0,4C,pull4C_final,1,x,pull4C_final_x_j1,after,(pull4C_final_valid > 0.5) && (prob_final_4C > 0.029999999999999999),39139,39139,-0.1997325734085494,0.7385528398783526,-0.20367327286430215,0.0033021365810364848,0.617673227855415,0.004359007130342207,4000,67.29094477536879
240.0,5C,pull5C_standard,1,alpha,pull5C_standard_alpha_j1,before,pull5C_standard_valid > 0.5,45771,33530,-0.10693128857858118,1.9491020803115584,-0.14318164306472778,0.010176265269411625,1.4886783015019376,0.011954433331982206,4000,16.26199293011575
240.0,5C,pull5C_standard,1,alpha,pull5C_standard_alpha_j1,after,(pull5C_standard_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,-0.17992290572770978,0.6976833610830457,-0.19482797676927877,0.010264643206142612,0.5958970185467581,0.012135730438976366,4000,5.085702303638557
240.0,5C,pull5C_standard,1,theta,pull5C_standard_theta_j1,before,pull5C_standard_valid > 0.5,45771,9021,0.014330932514900458,2.7559071663359154,0.08298980630094108,0.15781962959530568,4.476856908144263,0.46273602027875205,4000,1.109141147436541
240.0,5C,pull5C_standard,1,theta,pull5C_standard_theta_j1,after,(pull5C_standard_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,0.028899759777869093,1.697896942697532,0.03770600009572382,0.07034357090861587,2.5484181275331244,0.11378143076467162,4000,0.8518176086908771
240.0,5C,pull5C_standard,1,phi,pull5C_standard_phi_j1,before,pull5C_standard_valid > 0.5,45771,8980,0.020624919239770494,2.7630535296991487,0.007300559139793967,0.13770371612091975,4.169743526960096,0.36968178615085456,4000,1.044409383315843
240.0,5C,pull5C_standard,1,phi,pull5C_standard_phi_j1,after,(pull5C_standard_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,0.017348780406410216,1.696022490189202,0.004940625435762027,0.06917158376637693,2.524991500638691,0.10920894591216856,4000,0.7147260821186322
240.0,5C,pull5C_standard,1,x,pull5C_standard_x_j1,before,pull5C_standard_valid > 0.5,45771,23378,-0.2842368634767861,2.2772427588729087,-0.28352538043063524,0.01955184459803923,1.9323919081937417,0.026169526086127437,4000,5.435693856881032
240.0,5C,pull5C_standard,1,x,pull5C_standard_x_j1,after,(pull5C_standard_valid > 0.5) && (prob_5C > 0.029999999999999999),3666,3666,-0.16432623361969334,0.8868238786404302,-0.16914395963026846,0.014303907818748803,0.8356827594164615,0.01548966647405825,4000,4.049357504072994
240.0,5C,pull5C_final,1,alpha,pull5C_final_alpha_j1,before,pull5C_final_valid > 0.5,45771,36450,0.17634093043141744,1.8164592744579215,0.09358090270168028,0.008498640604184345,1.3474529921500822,0.009670506822761049,4000,24.701561346656028
240.0,5C,pull5C_final,1,alpha,pull5C_final_alpha_j1,after,(pull5C_final_valid > 0.5) && (prob_final_5C > 0.029999999999999999),10237,10237,-0.006591571765036879,0.8066267470611692,-0.019433385833902462,0.007738910593485602,0.7453172998199532,0.008466427831147816,4000,10.031351865032244
240.0,5C,pull5C_final,1,theta,pull5C_final_theta_j1,before,pull5C_final_valid > 0.5,45771,21433,0.0033309079693853096,2.2741948084702526,-0.003673952557965952,0.02070152234661916,1.9841008231412616,0.02861330554840469,4000,3.3116846369522674
240.0,5C,pull5C_final,1,theta,pull5C_final_theta_j1,after,(pull5C_final_valid > 0.5) && (prob_final_5C > 0.029999999999999999),10237,10237,0.003998532960726395,1.3508145205355155,-0.0019019048437469914,0.015758216904911505,1.4149945730848448,0.016078236707774973,4000,2.2727789374463274
240.0,5C,pull5C_final,1,phi,pull5C_final_phi_j1,before,pull5C_final_valid > 0.5,45771,19711,0.011798436192638685,2.303381063060387,0.017253150807581386,0.02206450103996605,2.005318674972709,0.030573555896211135,4000,2.99214242513707
240.0,5C,pull5C_final,1,phi,pull5C_final_phi_j1,after,(pull5C_final_valid > 0.5) && (prob_final_5C > 0.029999999999999999),10237,10237,0.011638400405524486,1.4095323221931804,0.010592298739536675,0.017758604881766428,1.5336364058621972,0.019241370120397283,4000,2.420261555815081
240.0,5C,pull5C_final,1,x,pull5C_final_x_j1,before,pull5C_final_valid > 0.5,45771,30710,-0.007334200220705079,1.9892008497123703,0.020977721217093577,0.010974673783481888,1.517801087211013,0.01309570529700188,4000,15.06735692171258
240.0,5C,pull5C_final,1,x,pull5C_final_x_j1,after,(pull5C_final_valid > 0.5) && (prob_final_5C > 0.029999999999999999),10237,10237,-0.006185389941569964,0.8908163112246062,-0.00016836568330017335,0.008699660132385104,0.8575103731987412,0.008949836470037498,4000,7.493253030237077
240.0,4C,pull4C_standard,2,alpha,pull4C_standard_alpha_j2,before,pull4C_standard_valid > 0.5,45815,40787,-0.31372063887180723,1.214368805749174,-0.18908080481459155,0.0038159603420912483,0.6681439296511924,0.0057155146766057485,4000,97.15126124385114
240.0,4C,pull4C_standard,2,alpha,pull4C_standard_alpha_j2,after,(pull4C_standard_valid > 0.5) && (prob_4C > 0.029999999999999999),29035,29035,-0.21435755646141658,0.6620045328181917,-0.17472329683392468,0.0033823640206384975,0.5266158868157501,0.004479005148646742,4000,56.01993270492117
