energy_GeV,figure,panel,curve,expressions,selection,selected_events,finite_fills,visible_fills,mean,mean_error,stddev,stddev_error
365.0,7.9,mass,without ISR treatment,mW_5C,standard_5C_valid > 0.5,45204,45204,43086,81.40339587495414,0.055299324516213694,11.478573381258522,0.0391025273604502
365.0,7.9,mass,with ISR treatment,mW_5C_final,standard_5C_valid > 0.5,45204,45204,43356,78.85936406112067,0.05106778736930768,10.6333876127546,0.03611037874903018
365.0,7.9,probability,without ISR treatment,prob_5C,standard_5C_valid > 0.5,45204,45204,45204,0.04601548693688515,0.0008142356003450242,0.17311652266649855,0.0005757515144874662
365.0,7.9,probability,with ISR treatment,prob_final_5C,standard_5C_valid > 0.5,45204,45204,45204,0.1149544153589825,0.0011988336828027376,0.2548868144973518,0.0008477034266246581
365.0,7.10,smaller,raw dijet mass,m_small_raw,1,45583,45583,42493,74.29706083975556,0.051032848873510644,10.519824868531819,0.03608567350172764
365.0,7.10,smaller,4C with ISR treatment,m_small_4C_final,standard_4C_valid > 0.5,45480,45480,42390,75.00133769050413,0.05054875088280288,10.407397359006548,0.035743364529739405
365.0,7.10,smaller,5C with ISR treatment,mW_5C_final,standard_5C_valid > 0.5,45204,45204,43356,78.85936406112067,0.05106778736930768,10.6333876127546,0.03611037874903018
365.0,7.10,larger,raw dijet mass,m_large_raw,1,45583,45583,40897,84.47538045331966,0.04705263231675883,9.515456986081256,0.03327123538385746
365.0,7.10,larger,4C with ISR treatment,m_large_4C_final,standard_4C_valid > 0.5,45480,45480,40791,85.2415099957005,0.04716217971589679,9.525242586825048,0.03334869709264927
365.0,7.10,larger,5C with ISR treatment,mW_5C_final,standard_5C_valid > 0.5,45204,45204,43356,78.85936406112067,0.05106778736930768,10.6333876127546,0.03611037874903018
365.0,Appendix B.4,smaller,4C without ISR treatment; no probability requirement,m_small_4C,standard_4C_valid > 0.5,45480,45480,42294,75.68331938520043,0.0541954746459388,11.145573102040919,0.03832198763176694
365.0,Appendix B.4,smaller,4C without ISR treatment; P_4C>0.03,m_small_4C,(standard_4C_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,23991,76.93126564285058,0.05651789121373839,8.754072207019199,0.03996418413559801
365.0,Appendix B.4,larger,4C without ISR treatment; no probability requirement,m_large_4C,standard_4C_valid > 0.5,45480,45480,39425,86.58263440729019,0.0536430884603424,10.651226621488973,0.03793139161409795
365.0,Appendix B.4,larger,4C without ISR treatment; P_4C>0.03,m_large_4C,(standard_4C_valid > 0.5) && (prob_4C > 0.029999999999999999),24781,24781,22402,85.30816071749308,0.05704433819858035,8.53799591078345,0.04033643836851497
365.0,Appendix B.4,equal mass,5C without ISR treatment; no probability requirement,mW_5C,standard_5C_valid > 0.5,45204,45204,43086,81.40339587495414,0.055299324516213694,11.478573381258522,0.0391025273604502
365.0,Appendix B.4,equal mass,5C without ISR treatment; P_5C>0.03,mW_5C,(standard_5C_valid > 0.5) && (prob_5C > 0.029999999999999999),4438,4438,4428,80.14851345107054,0.038499803552618096,2.561900860739412,0.027223472166406186
